"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","24.04.2023 06:00 - 24.04.2023 07:00 (CET/CEST)","1","1682","1591"
"BZN|BE","24.04.2023 07:00 - 24.04.2023 08:00 (CET/CEST)","65","1627","1557"
"BZN|BE","24.04.2023 08:00 - 24.04.2023 09:00 (CET/CEST)","324","1746","1536"
"BZN|BE","24.04.2023 09:00 - 24.04.2023 10:00 (CET/CEST)","834","1652","1538"
"BZN|BE","24.04.2023 10:00 - 24.04.2023 11:00 (CET/CEST)","1475","1082","1468"
"BZN|BE","24.04.2023 11:00 - 24.04.2023 12:00 (CET/CEST)","1883","850","1399"
"BZN|BE","24.04.2023 12:00 - 24.04.2023 13:00 (CET/CEST)","2476","721","1288"
"BZN|BE","24.04.2023 13:00 - 24.04.2023 14:00 (CET/CEST)","2846","638","1146"
"BZN|BE","24.04.2023 14:00 - 24.04.2023 15:00 (CET/CEST)","3140","465","992"
"BZN|BE","24.04.2023 15:00 - 24.04.2023 16:00 (CET/CEST)","3511","393","818"
"BZN|BE","24.04.2023 16:00 - 24.04.2023 17:00 (CET/CEST)","2687","206","622"
"BZN|BE","24.04.2023 17:00 - 24.04.2023 18:00 (CET/CEST)","1613","97","507"
"BZN|BE","24.04.2023 18:00 - 24.04.2023 19:00 (CET/CEST)","869","102","382"
"BZN|BE","24.04.2023 19:00 - 24.04.2023 20:00 (CET/CEST)","442","103","265"
"BZN|BE","24.04.2023 20:00 - 24.04.2023 21:00 (CET/CEST)","65","274","208"
"BZN|BE","24.04.2023 21:00 - 24.04.2023 22:00 (CET/CEST)","0","385","168"
"BZN|BE","24.04.2023 22:00 - 24.04.2023 23:00 (CET/CEST)","0","372","158"
"BZN|BE","24.04.2023 23:00 - 25.04.2023 00:00 (CET/CEST)","0","439","119"
"BZN|BE","25.04.2023 00:00 - 25.04.2023 01:00 (CET/CEST)","0","499","110"
"BZN|BE","25.04.2023 01:00 - 25.04.2023 02:00 (CET/CEST)","0","516","113"
"BZN|BE","25.04.2023 02:00 - 25.04.2023 03:00 (CET/CEST)","0","536","128"
"BZN|BE","25.04.2023 03:00 - 25.04.2023 04:00 (CET/CEST)","0","610","152"
"BZN|BE","25.04.2023 04:00 - 25.04.2023 05:00 (CET/CEST)","0","586","207"
"BZN|BE","25.04.2023 05:00 - 25.04.2023 06:00 (CET/CEST)","0","799","234"
"BZN|BE","25.04.2023 06:00 - 25.04.2023 07:00 (CET/CEST)","7","788","205"
"BZN|BE","25.04.2023 07:00 - 25.04.2023 08:00 (CET/CEST)","217","919","202"
"BZN|BE","25.04.2023 08:00 - 25.04.2023 09:00 (CET/CEST)","676","586","189"
"BZN|BE","25.04.2023 09:00 - 25.04.2023 10:00 (CET/CEST)","1533","388","192"
"BZN|BE","25.04.2023 10:00 - 25.04.2023 11:00 (CET/CEST)","2146","336","180"
"BZN|BE","25.04.2023 11:00 - 25.04.2023 12:00 (CET/CEST)","2887","377","256"
"BZN|BE","25.04.2023 12:00 - 25.04.2023 13:00 (CET/CEST)","3010","365","242"
"BZN|BE","25.04.2023 13:00 - 25.04.2023 14:00 (CET/CEST)","3693","388","301"
"BZN|BE","25.04.2023 14:00 - 25.04.2023 15:00 (CET/CEST)","3535","417","383"
"BZN|BE","25.04.2023 15:00 - 25.04.2023 16:00 (CET/CEST)","3508","270","465"
"BZN|BE","25.04.2023 16:00 - 25.04.2023 17:00 (CET/CEST)","3232","193","371"
"BZN|BE","25.04.2023 17:00 - 25.04.2023 18:00 (CET/CEST)","2442","151","345"
"BZN|BE","25.04.2023 18:00 - 25.04.2023 19:00 (CET/CEST)","1578","175","351"
"BZN|BE","25.04.2023 19:00 - 25.04.2023 20:00 (CET/CEST)","644","156","333"
"BZN|BE","25.04.2023 20:00 - 25.04.2023 21:00 (CET/CEST)","89","108","308"
"BZN|BE","25.04.2023 21:00 - 25.04.2023 22:00 (CET/CEST)","0","43","295"
"BZN|BE","25.04.2023 22:00 - 25.04.2023 23:00 (CET/CEST)","0","24","271"
"BZN|BE","25.04.2023 23:00 - 26.04.2023 00:00 (CET/CEST)","0","3","208"
"BZN|BE","26.04.2023 00:00 - 26.04.2023 01:00 (CET/CEST)","0","","155"
"BZN|BE","26.04.2023 01:00 - 26.04.2023 02:00 (CET/CEST)","0","","95"
"BZN|BE","26.04.2023 02:00 - 26.04.2023 03:00 (CET/CEST)","0","","44"
"BZN|BE","26.04.2023 03:00 - 26.04.2023 04:00 (CET/CEST)","0","","16"
"BZN|BE","26.04.2023 04:00 - 26.04.2023 05:00 (CET/CEST)","0","","11"
"BZN|BE","26.04.2023 05:00 - 26.04.2023 06:00 (CET/CEST)","0","","11"
"BZN|BE","26.04.2023 06:00 - 26.04.2023 07:00 (CET/CEST)","37","","11"
"BZN|BE","26.04.2023 07:00 - 26.04.2023 08:00 (CET/CEST)","502","","13"
"BZN|BE","26.04.2023 08:00 - 26.04.2023 09:00 (CET/CEST)","1072","","13"
"BZN|BE","26.04.2023 09:00 - 26.04.2023 10:00 (CET/CEST)","1851","","6"
"BZN|BE","26.04.2023 10:00 - 26.04.2023 11:00 (CET/CEST)","2882","","2"
"BZN|BE","26.04.2023 11:00 - 26.04.2023 12:00 (CET/CEST)","4217","","3"
"BZN|BE","26.04.2023 12:00 - 26.04.2023 13:00 (CET/CEST)","4299","","2"
"BZN|BE","26.04.2023 13:00 - 26.04.2023 14:00 (CET/CEST)","4156","","5"
"BZN|BE","26.04.2023 14:00 - 26.04.2023 15:00 (CET/CEST)","4270","","6"
"BZN|BE","26.04.2023 15:00 - 26.04.2023 16:00 (CET/CEST)","3949","","10"
"BZN|BE","26.04.2023 16:00 - 26.04.2023 17:00 (CET/CEST)","3371","11","22"
"BZN|BE","26.04.2023 17:00 - 26.04.2023 18:00 (CET/CEST)","2541","64","37"
"BZN|BE","26.04.2023 18:00 - 26.04.2023 19:00 (CET/CEST)","1614","115","56"
"BZN|BE","26.04.2023 19:00 - 26.04.2023 20:00 (CET/CEST)","681","131","78"
"BZN|BE","26.04.2023 20:00 - 26.04.2023 21:00 (CET/CEST)","111","170","133"
"BZN|BE","26.04.2023 21:00 - 26.04.2023 22:00 (CET/CEST)","0","191","267"
"BZN|BE","26.04.2023 22:00 - 26.04.2023 23:00 (CET/CEST)","0","152","407"
"BZN|BE","26.04.2023 23:00 - 27.04.2023 00:00 (CET/CEST)","0","230","472"
"BZN|BE","27.04.2023 00:00 - 27.04.2023 01:00 (CET/CEST)","0","249","479"
"BZN|BE","27.04.2023 01:00 - 27.04.2023 02:00 (CET/CEST)","0","209","392"
"BZN|BE","27.04.2023 02:00 - 27.04.2023 03:00 (CET/CEST)","0","234","380"
"BZN|BE","27.04.2023 03:00 - 27.04.2023 04:00 (CET/CEST)","0","311","456"
"BZN|BE","27.04.2023 04:00 - 27.04.2023 05:00 (CET/CEST)","0","268","469"
"BZN|BE","27.04.2023 05:00 - 27.04.2023 06:00 (CET/CEST)","0","277","450"
"BZN|BE","27.04.2023 06:00 - 27.04.2023 07:00 (CET/CEST)","43","198","468"
"BZN|BE","27.04.2023 07:00 - 27.04.2023 08:00 (CET/CEST)","566","266","490"
"BZN|BE","27.04.2023 08:00 - 27.04.2023 09:00 (CET/CEST)","1396","354","342"
"BZN|BE","27.04.2023 09:00 - 27.04.2023 10:00 (CET/CEST)","2405","316","210"
"BZN|BE","27.04.2023 10:00 - 27.04.2023 11:00 (CET/CEST)","3382","280","241"
"BZN|BE","27.04.2023 11:00 - 27.04.2023 12:00 (CET/CEST)","3802","297","222"
"BZN|BE","27.04.2023 12:00 - 27.04.2023 13:00 (CET/CEST)","4234","353","179"
"BZN|BE","27.04.2023 13:00 - 27.04.2023 14:00 (CET/CEST)","5024","347","172"
"BZN|BE","27.04.2023 14:00 - 27.04.2023 15:00 (CET/CEST)","5320","148","166"
"BZN|BE","27.04.2023 15:00 - 27.04.2023 16:00 (CET/CEST)","4470","206","155"
"BZN|BE","27.04.2023 16:00 - 27.04.2023 17:00 (CET/CEST)","2963","534","154"
"BZN|BE","27.04.2023 17:00 - 27.04.2023 18:00 (CET/CEST)","1710","539","168"
"BZN|BE","27.04.2023 18:00 - 27.04.2023 19:00 (CET/CEST)","772","589","193"
"BZN|BE","27.04.2023 19:00 - 27.04.2023 20:00 (CET/CEST)","266","406","238"
"BZN|BE","27.04.2023 20:00 - 27.04.2023 21:00 (CET/CEST)","23","515","347"
"BZN|BE","27.04.2023 21:00 - 27.04.2023 22:00 (CET/CEST)","0","691","467"
"BZN|BE","27.04.2023 22:00 - 27.04.2023 23:00 (CET/CEST)","0","848","531"
"BZN|BE","27.04.2023 23:00 - 28.04.2023 00:00 (CET/CEST)","0","845","515"
"BZN|BE","28.04.2023 00:00 - 28.04.2023 01:00 (CET/CEST)","0","1096","482"
"BZN|BE","28.04.2023 01:00 - 28.04.2023 02:00 (CET/CEST)","0","1007","522"
"BZN|BE","28.04.2023 02:00 - 28.04.2023 03:00 (CET/CEST)","0","970","475"
"BZN|BE","28.04.2023 03:00 - 28.04.2023 04:00 (CET/CEST)","0","771","492"
"BZN|BE","28.04.2023 04:00 - 28.04.2023 05:00 (CET/CEST)","0","475","429"
"BZN|BE","28.04.2023 05:00 - 28.04.2023 06:00 (CET/CEST)","0","262","514"
"BZN|BE","28.04.2023 06:00 - 28.04.2023 07:00 (CET/CEST)","4","203","542"
"BZN|BE","28.04.2023 07:00 - 28.04.2023 08:00 (CET/CEST)","122","372","453"
"BZN|BE","28.04.2023 08:00 - 28.04.2023 09:00 (CET/CEST)","372","1281","500"
"BZN|BE","28.04.2023 09:00 - 28.04.2023 10:00 (CET/CEST)","704","1141","525"
"BZN|BE","28.04.2023 10:00 - 28.04.2023 11:00 (CET/CEST)","970","1209","580"
"BZN|BE","28.04.2023 11:00 - 28.04.2023 12:00 (CET/CEST)","1321","1477","722"
"BZN|BE","28.04.2023 12:00 - 28.04.2023 13:00 (CET/CEST)","1701","1564","991"
"BZN|BE","28.04.2023 13:00 - 28.04.2023 14:00 (CET/CEST)","1817","1463","1169"
"BZN|BE","28.04.2023 14:00 - 28.04.2023 15:00 (CET/CEST)","1824","1407","1265"
"BZN|BE","28.04.2023 15:00 - 28.04.2023 16:00 (CET/CEST)","1613","1457","1224"
"BZN|BE","28.04.2023 16:00 - 28.04.2023 17:00 (CET/CEST)","1313","1521","1213"
"BZN|BE","28.04.2023 17:00 - 28.04.2023 18:00 (CET/CEST)","895","1187","1067"
"BZN|BE","28.04.2023 18:00 - 28.04.2023 19:00 (CET/CEST)","462","537","1023"
"BZN|BE","28.04.2023 19:00 - 28.04.2023 20:00 (CET/CEST)","173","243","1015"
"BZN|BE","28.04.2023 20:00 - 28.04.2023 21:00 (CET/CEST)","21","231","763"
"BZN|BE","28.04.2023 21:00 - 28.04.2023 22:00 (CET/CEST)","0","308","563"
"BZN|BE","28.04.2023 22:00 - 28.04.2023 23:00 (CET/CEST)","0","604","420"
"BZN|BE","28.04.2023 23:00 - 29.04.2023 00:00 (CET/CEST)","0","712","505"
"BZN|BE","29.04.2023 00:00 - 29.04.2023 01:00 (CET/CEST)","0","470","522"
"BZN|BE","29.04.2023 01:00 - 29.04.2023 02:00 (CET/CEST)","0","351","479"
"BZN|BE","29.04.2023 02:00 - 29.04.2023 03:00 (CET/CEST)","0","329","391"
"BZN|BE","29.04.2023 03:00 - 29.04.2023 04:00 (CET/CEST)","0","365","343"
"BZN|BE","29.04.2023 04:00 - 29.04.2023 05:00 (CET/CEST)","0","309","334"
"BZN|BE","29.04.2023 05:00 - 29.04.2023 06:00 (CET/CEST)","0","255","309"
"BZN|BE","29.04.2023 06:00 - 29.04.2023 07:00 (CET/CEST)","0","280","241"
"BZN|BE","29.04.2023 07:00 - 29.04.2023 08:00 (CET/CEST)","48","208","177"
"BZN|BE","29.04.2023 08:00 - 29.04.2023 09:00 (CET/CEST)","195","97","146"
"BZN|BE","29.04.2023 09:00 - 29.04.2023 10:00 (CET/CEST)","484","20","163"
"BZN|BE","29.04.2023 10:00 - 29.04.2023 11:00 (CET/CEST)","1012","39","137"
"BZN|BE","29.04.2023 11:00 - 29.04.2023 12:00 (CET/CEST)","1519","16","74"
"BZN|BE","29.04.2023 12:00 - 29.04.2023 13:00 (CET/CEST)","1912","","52"
"BZN|BE","29.04.2023 13:00 - 29.04.2023 14:00 (CET/CEST)","2109","","42"
"BZN|BE","29.04.2023 14:00 - 29.04.2023 15:00 (CET/CEST)","2120","6","39"
"BZN|BE","29.04.2023 15:00 - 29.04.2023 16:00 (CET/CEST)","1921","5","40"
"BZN|BE","29.04.2023 16:00 - 29.04.2023 17:00 (CET/CEST)","1635","8","53"
"BZN|BE","29.04.2023 17:00 - 29.04.2023 18:00 (CET/CEST)","1355","14","78"
"BZN|BE","29.04.2023 18:00 - 29.04.2023 19:00 (CET/CEST)","1006","41","108"
"BZN|BE","29.04.2023 19:00 - 29.04.2023 20:00 (CET/CEST)","572","70","125"
"BZN|BE","29.04.2023 20:00 - 29.04.2023 21:00 (CET/CEST)","117","154","125"
"BZN|BE","29.04.2023 21:00 - 29.04.2023 22:00 (CET/CEST)","0","201","153"
"BZN|BE","29.04.2023 22:00 - 29.04.2023 23:00 (CET/CEST)","0","159","217"
"BZN|BE","29.04.2023 23:00 - 30.04.2023 00:00 (CET/CEST)","0","119","320"
"BZN|BE","30.04.2023 00:00 - 30.04.2023 01:00 (CET/CEST)","0","74","365"
"BZN|BE","30.04.2023 01:00 - 30.04.2023 02:00 (CET/CEST)","0","54","348"
"BZN|BE","30.04.2023 02:00 - 30.04.2023 03:00 (CET/CEST)","0","53","345"
"BZN|BE","30.04.2023 03:00 - 30.04.2023 04:00 (CET/CEST)","0","42","388"
"BZN|BE","30.04.2023 04:00 - 30.04.2023 05:00 (CET/CEST)","0","104","383"
"BZN|BE","30.04.2023 05:00 - 30.04.2023 06:00 (CET/CEST)","0","65","375"
"BZN|BE","30.04.2023 06:00 - 30.04.2023 07:00 (CET/CEST)","63","55","352"
"BZN|BE","30.04.2023 07:00 - 30.04.2023 08:00 (CET/CEST)","610","75","357"
"BZN|BE","30.04.2023 08:00 - 30.04.2023 09:00 (CET/CEST)","1564","65","195"
"BZN|BE","30.04.2023 09:00 - 30.04.2023 10:00 (CET/CEST)","2734","24","67"
"BZN|BE","30.04.2023 10:00 - 30.04.2023 11:00 (CET/CEST)","3794","1","111"
"BZN|BE","30.04.2023 11:00 - 30.04.2023 12:00 (CET/CEST)","4683","0","221"
"BZN|BE","30.04.2023 12:00 - 30.04.2023 13:00 (CET/CEST)","5078","6","250"
"BZN|BE","30.04.2023 13:00 - 30.04.2023 14:00 (CET/CEST)","5080","2","230"
"BZN|BE","30.04.2023 14:00 - 30.04.2023 15:00 (CET/CEST)","4746","24","179"
"BZN|BE","30.04.2023 15:00 - 30.04.2023 16:00 (CET/CEST)","4071","40","177"
"BZN|BE","30.04.2023 16:00 - 30.04.2023 17:00 (CET/CEST)","3124","59","245"
"BZN|BE","30.04.2023 17:00 - 30.04.2023 18:00 (CET/CEST)","2183","71","227"
"BZN|BE","30.04.2023 18:00 - 30.04.2023 19:00 (CET/CEST)","1292","65","215"
"BZN|BE","30.04.2023 19:00 - 30.04.2023 20:00 (CET/CEST)","572","64","203"
"BZN|BE","30.04.2023 20:00 - 30.04.2023 21:00 (CET/CEST)","114","90","231"
"BZN|BE","30.04.2023 21:00 - 30.04.2023 22:00 (CET/CEST)","0","77","320"
"BZN|BE","30.04.2023 22:00 - 30.04.2023 23:00 (CET/CEST)","0","55","398"
"BZN|BE","30.04.2023 23:00 - 01.05.2023 00:00 (CET/CEST)","0","19","368"
"BZN|BE","01.05.2023 00:00 - 01.05.2023 01:00 (CET/CEST)","0","7","284"
"BZN|BE","01.05.2023 01:00 - 01.05.2023 02:00 (CET/CEST)","0","","184"
"BZN|BE","01.05.2023 02:00 - 01.05.2023 03:00 (CET/CEST)","0","","114"
"BZN|BE","01.05.2023 03:00 - 01.05.2023 04:00 (CET/CEST)","0","","79"
"BZN|BE","01.05.2023 04:00 - 01.05.2023 05:00 (CET/CEST)","0","","49"
"BZN|BE","01.05.2023 05:00 - 01.05.2023 06:00 (CET/CEST)","0","","40"
"BZN|BE","01.05.2023 06:00 - 01.05.2023 07:00 (CET/CEST)","18","19","52"
"BZN|BE","01.05.2023 07:00 - 01.05.2023 08:00 (CET/CEST)","261","114","74"
"BZN|BE","01.05.2023 08:00 - 01.05.2023 09:00 (CET/CEST)","799","110","67"
"BZN|BE","01.05.2023 09:00 - 01.05.2023 10:00 (CET/CEST)","1441","69","65"
"BZN|BE","01.05.2023 10:00 - 01.05.2023 11:00 (CET/CEST)","2082","29","73"
"BZN|BE","01.05.2023 11:00 - 01.05.2023 12:00 (CET/CEST)","2730","6","135"
"BZN|BE","01.05.2023 12:00 - 01.05.2023 13:00 (CET/CEST)","3037","5","214"
"BZN|BE","01.05.2023 13:00 - 01.05.2023 14:00 (CET/CEST)","3093","112","291"
"BZN|BE","01.05.2023 14:00 - 01.05.2023 15:00 (CET/CEST)","2964","157","411"
"BZN|BE","01.05.2023 15:00 - 01.05.2023 16:00 (CET/CEST)","3016","52","319"
"BZN|BE","01.05.2023 16:00 - 01.05.2023 17:00 (CET/CEST)","2639","81","402"
"BZN|BE","01.05.2023 17:00 - 01.05.2023 18:00 (CET/CEST)","2145","92","367"
"BZN|BE","01.05.2023 18:00 - 01.05.2023 19:00 (CET/CEST)","1525","87","292"
"BZN|BE","01.05.2023 19:00 - 01.05.2023 20:00 (CET/CEST)","808","25","248"
"BZN|BE","01.05.2023 20:00 - 01.05.2023 21:00 (CET/CEST)","177","","272"
"BZN|BE","01.05.2023 21:00 - 01.05.2023 22:00 (CET/CEST)","0","0","307"
"BZN|BE","01.05.2023 22:00 - 01.05.2023 23:00 (CET/CEST)","0","4","346"
"BZN|BE","01.05.2023 23:00 - 02.05.2023 00:00 (CET/CEST)","0","10","304"
"BZN|BE","02.05.2023 00:00 - 02.05.2023 01:00 (CET/CEST)","0","71","256"
"BZN|BE","02.05.2023 01:00 - 02.05.2023 02:00 (CET/CEST)","0","93","273"
"BZN|BE","02.05.2023 02:00 - 02.05.2023 03:00 (CET/CEST)","0","171","238"
"BZN|BE","02.05.2023 03:00 - 02.05.2023 04:00 (CET/CEST)","0","196","220"
"BZN|BE","02.05.2023 04:00 - 02.05.2023 05:00 (CET/CEST)","0","454","201"
"BZN|BE","02.05.2023 05:00 - 02.05.2023 06:00 (CET/CEST)","0","373","222"
"BZN|BE","02.05.2023 06:00 - 02.05.2023 07:00 (CET/CEST)","13","619","315"
"BZN|BE","02.05.2023 07:00 - 02.05.2023 08:00 (CET/CEST)","159","567","297"
"BZN|BE","02.05.2023 08:00 - 02.05.2023 09:00 (CET/CEST)","632","558","187"
"BZN|BE","02.05.2023 09:00 - 02.05.2023 10:00 (CET/CEST)","1610","371","166"
"BZN|BE","02.05.2023 10:00 - 02.05.2023 11:00 (CET/CEST)","2756","185","131"
"BZN|BE","02.05.2023 11:00 - 02.05.2023 12:00 (CET/CEST)","3559","162","107"
"BZN|BE","02.05.2023 12:00 - 02.05.2023 13:00 (CET/CEST)","4151","112","88"
"BZN|BE","02.05.2023 13:00 - 02.05.2023 14:00 (CET/CEST)","4389","113","98"
"BZN|BE","02.05.2023 14:00 - 02.05.2023 15:00 (CET/CEST)","4430","72","146"
"BZN|BE","02.05.2023 15:00 - 02.05.2023 16:00 (CET/CEST)","4394","102","223"
"BZN|BE","02.05.2023 16:00 - 02.05.2023 17:00 (CET/CEST)","4009","148","286"
"BZN|BE","02.05.2023 17:00 - 02.05.2023 18:00 (CET/CEST)","3145","200","310"
"BZN|BE","02.05.2023 18:00 - 02.05.2023 19:00 (CET/CEST)","1994","239","321"
"BZN|BE","02.05.2023 19:00 - 02.05.2023 20:00 (CET/CEST)","975","276","302"
"BZN|BE","02.05.2023 20:00 - 02.05.2023 21:00 (CET/CEST)","194","357","330"
"BZN|BE","02.05.2023 21:00 - 02.05.2023 22:00 (CET/CEST)","0","324","410"
"BZN|BE","02.05.2023 22:00 - 02.05.2023 23:00 (CET/CEST)","0","419","502"
"BZN|BE","02.05.2023 23:00 - 03.05.2023 00:00 (CET/CEST)","0","351","586"
"BZN|BE","03.05.2023 00:00 - 03.05.2023 01:00 (CET/CEST)","0","322","623"
"BZN|BE","03.05.2023 01:00 - 03.05.2023 02:00 (CET/CEST)","0","252","551"
"BZN|BE","03.05.2023 02:00 - 03.05.2023 03:00 (CET/CEST)","0","307","477"
"BZN|BE","03.05.2023 03:00 - 03.05.2023 04:00 (CET/CEST)","0","360","489"
"BZN|BE","03.05.2023 04:00 - 03.05.2023 05:00 (CET/CEST)","0","222","548"
"BZN|BE","03.05.2023 05:00 - 03.05.2023 06:00 (CET/CEST)","0","266","465"
"BZN|BE","03.05.2023 06:00 - 03.05.2023 07:00 (CET/CEST)","81","335","392"
"BZN|BE","03.05.2023 07:00 - 03.05.2023 08:00 (CET/CEST)","707","596","337"
"BZN|BE","03.05.2023 08:00 - 03.05.2023 09:00 (CET/CEST)","1673","463","218"
"BZN|BE","03.05.2023 09:00 - 03.05.2023 10:00 (CET/CEST)","2910","439","158"
"BZN|BE","03.05.2023 10:00 - 03.05.2023 11:00 (CET/CEST)","4030","304","217"
"BZN|BE","03.05.2023 11:00 - 03.05.2023 12:00 (CET/CEST)","4942","205","278"
"BZN|BE","03.05.2023 12:00 - 03.05.2023 13:00 (CET/CEST)","5468","230","232"
"BZN|BE","03.05.2023 13:00 - 03.05.2023 14:00 (CET/CEST)","5660","301","248"
"BZN|BE","03.05.2023 14:00 - 03.05.2023 15:00 (CET/CEST)","5535","451","314"
"BZN|BE","03.05.2023 15:00 - 03.05.2023 16:00 (CET/CEST)","5122","524","374"
"BZN|BE","03.05.2023 16:00 - 03.05.2023 17:00 (CET/CEST)","4327","576","460"
"BZN|BE","03.05.2023 17:00 - 03.05.2023 18:00 (CET/CEST)","3199","760","516"
"BZN|BE","03.05.2023 18:00 - 03.05.2023 19:00 (CET/CEST)","1922","897","565"
"BZN|BE","03.05.2023 19:00 - 03.05.2023 20:00 (CET/CEST)","816","1000","558"
"BZN|BE","03.05.2023 20:00 - 03.05.2023 21:00 (CET/CEST)","180","1059","582"
"BZN|BE","03.05.2023 21:00 - 03.05.2023 22:00 (CET/CEST)","0","1054","773"
"BZN|BE","03.05.2023 22:00 - 03.05.2023 23:00 (CET/CEST)","0","1218","945"
"BZN|BE","03.05.2023 23:00 - 04.05.2023 00:00 (CET/CEST)","0","1201","1015"
"BZN|BE","04.05.2023 00:00 - 04.05.2023 01:00 (CET/CEST)","0","947","1002"
"BZN|BE","04.05.2023 01:00 - 04.05.2023 02:00 (CET/CEST)","0","899","921"
"BZN|BE","04.05.2023 02:00 - 04.05.2023 03:00 (CET/CEST)","0","969","799"
"BZN|BE","04.05.2023 03:00 - 04.05.2023 04:00 (CET/CEST)","0","812","734"
"BZN|BE","04.05.2023 04:00 - 04.05.2023 05:00 (CET/CEST)","0","823","724"
"BZN|BE","04.05.2023 05:00 - 04.05.2023 06:00 (CET/CEST)","0","702","657"
"BZN|BE","04.05.2023 06:00 - 04.05.2023 07:00 (CET/CEST)","55","604","698"
"BZN|BE","04.05.2023 07:00 - 04.05.2023 08:00 (CET/CEST)","519","563","695"
"BZN|BE","04.05.2023 08:00 - 04.05.2023 09:00 (CET/CEST)","1383","478","471"
"BZN|BE","04.05.2023 09:00 - 04.05.2023 10:00 (CET/CEST)","2578","441","256"
"BZN|BE","04.05.2023 10:00 - 04.05.2023 11:00 (CET/CEST)","3815","391","276"
"BZN|BE","04.05.2023 11:00 - 04.05.2023 12:00 (CET/CEST)","4807","422","349"
"BZN|BE","04.05.2023 12:00 - 04.05.2023 13:00 (CET/CEST)","5246","336","386"
"BZN|BE","04.05.2023 13:00 - 04.05.2023 14:00 (CET/CEST)","5196","561","378"
"BZN|BE","04.05.2023 14:00 - 04.05.2023 15:00 (CET/CEST)","4997","708","406"
"BZN|BE","04.05.2023 15:00 - 04.05.2023 16:00 (CET/CEST)","4398","806","398"
"BZN|BE","04.05.2023 16:00 - 04.05.2023 17:00 (CET/CEST)","3368","435","372"
"BZN|BE","04.05.2023 17:00 - 04.05.2023 18:00 (CET/CEST)","2030","206","364"
"BZN|BE","04.05.2023 18:00 - 04.05.2023 19:00 (CET/CEST)","1113","119","362"
"BZN|BE","04.05.2023 19:00 - 04.05.2023 20:00 (CET/CEST)","469","186","321"
"BZN|BE","04.05.2023 20:00 - 04.05.2023 21:00 (CET/CEST)","91","557","340"
"BZN|BE","04.05.2023 21:00 - 04.05.2023 22:00 (CET/CEST)","0","211","354"
"BZN|BE","04.05.2023 22:00 - 04.05.2023 23:00 (CET/CEST)","0","206","339"
"BZN|BE","04.05.2023 23:00 - 05.05.2023 00:00 (CET/CEST)","0","505","427"
"BZN|BE","05.05.2023 00:00 - 05.05.2023 01:00 (CET/CEST)","0","527","479"
"BZN|BE","05.05.2023 01:00 - 05.05.2023 02:00 (CET/CEST)","0","516","418"
"BZN|BE","05.05.2023 02:00 - 05.05.2023 03:00 (CET/CEST)","0","611","358"
"BZN|BE","05.05.2023 03:00 - 05.05.2023 04:00 (CET/CEST)","0","547","250"
"BZN|BE","05.05.2023 04:00 - 05.05.2023 05:00 (CET/CEST)","0","654","249"
"BZN|BE","05.05.2023 05:00 - 05.05.2023 06:00 (CET/CEST)","0","554","222"
"BZN|BE","05.05.2023 06:00 - 05.05.2023 07:00 (CET/CEST)","69","390","165"
"BZN|BE","05.05.2023 07:00 - 05.05.2023 08:00 (CET/CEST)","531","303","181"
"BZN|BE","05.05.2023 08:00 - 05.05.2023 09:00 (CET/CEST)","1060","223","95"
"BZN|BE","05.05.2023 09:00 - 05.05.2023 10:00 (CET/CEST)","1396","169","64"
"BZN|BE","05.05.2023 10:00 - 05.05.2023 11:00 (CET/CEST)","1289","239","125"
"BZN|BE","05.05.2023 11:00 - 05.05.2023 12:00 (CET/CEST)","1386","355","240"
"BZN|BE","05.05.2023 12:00 - 05.05.2023 13:00 (CET/CEST)","1864","356","387"
"BZN|BE","05.05.2023 13:00 - 05.05.2023 14:00 (CET/CEST)","2394","422","368"
"BZN|BE","05.05.2023 14:00 - 05.05.2023 15:00 (CET/CEST)","3076","398","301"
"BZN|BE","05.05.2023 15:00 - 05.05.2023 16:00 (CET/CEST)","3156","320","402"
"BZN|BE","05.05.2023 16:00 - 05.05.2023 17:00 (CET/CEST)","2708","250","361"
"BZN|BE","05.05.2023 17:00 - 05.05.2023 18:00 (CET/CEST)","2066","205","261"
"BZN|BE","05.05.2023 18:00 - 05.05.2023 19:00 (CET/CEST)","1368","67","177"
"BZN|BE","05.05.2023 19:00 - 05.05.2023 20:00 (CET/CEST)","827","14","84"
"BZN|BE","05.05.2023 20:00 - 05.05.2023 21:00 (CET/CEST)","219","0","72"
"BZN|BE","05.05.2023 21:00 - 05.05.2023 22:00 (CET/CEST)","2","54","130"
"BZN|BE","05.05.2023 22:00 - 05.05.2023 23:00 (CET/CEST)","0","76","197"
"BZN|BE","05.05.2023 23:00 - 06.05.2023 00:00 (CET/CEST)","0","39","199"
"BZN|BE","06.05.2023 00:00 - 06.05.2023 01:00 (CET/CEST)","0","67","218"
"BZN|BE","06.05.2023 01:00 - 06.05.2023 02:00 (CET/CEST)","0","66","220"
"BZN|BE","06.05.2023 02:00 - 06.05.2023 03:00 (CET/CEST)","0","65","260"
"BZN|BE","06.05.2023 03:00 - 06.05.2023 04:00 (CET/CEST)","0","39","272"
"BZN|BE","06.05.2023 04:00 - 06.05.2023 05:00 (CET/CEST)","0","14","272"
